Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,Q0_ProlificID,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q7_4_TEXT,Q8,Q8_5_TEXT,Q9,Q9_9_TEXT,Q10_1,Q11,Q11_7_TEXT,Q12,Q13,Q13_7_TEXT,Q14,Q15,Q16 ,Q17,Q17_1_TEXT,Q18,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q24,Q24_4_TEXT,Q25,Q25_5_TEXT,Q26,Q26_9_TEXT,Q27_1,Q28,Q28_7_TEXT,Q29,Q30,Q30_7_TEXT,Q31,Q32,Q33,Q34,Q34_1_TEXT,Q35,Q36,Q37,Q38,Q39_1,Q40_1
333,True,7/6/25 17:23,R_8odLqxdgcsbyZHk,"48,1384","11,6752",DE,"0,1000000015",,Yes,"1. Freunde in gleichen Alter wie ich (23 Jahre)
2. Beim Spazieren
3. Über die Möglichkeit den RSA Algorithmus zu knacken mittels des Quantencomputings. Genauer ging es darum, dass der Shor-Algorithmus die Option bietet Zahlen in ihre Primfaktoren zu zerlegen.
4. Die generelle Entwicklung bzgl. Verschlüsselungen.
5. 30 Minuten ca.
6. -/-",2,Friend,,Myself,No,"Public space (e.g., café, train)",,"Personal experience (e.g., cybersecurity incident),Work/school-related requirement",,"Security behavior (choice of passwords, updating software etc.)",,5 (Strongly agree),"Interested/curious,Confident/informed",,Da ich mich durch das Studium gut damit auskenne.,Helpful/responsible,,"Da sie die mathematischen Grundlagen nicht kennt, sie aber anschließend verstanden hat.",No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,23,Male,Deutschland,Medieninformatik (M.Sc.),3,5 (Strongly agree)
221,True,7/6/25 17:43,R_8Dhed6Cu0wa7Yap,"48,0753","11,7097",DE,"0,1000000015",,Yes,"1. Freunde 
2. Zuhause
3. Passwortsicherheit, Hackerangriffe
4. Partner arbeitet in IT Unternehmen und erzählt vom Arbeitstag
5. 30min
6.  Nein",2,Friend,,Other,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Security behavior (choice of passwords, updating software etc.)",,2,Worried/anxious,,Angst vor der Zukunft,"Interested/curious,Worried/anxious,Confident/informed,Annoyed",,Arbeitet in der IT Branche,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,24,Female,Deutschland ,Pflegefachkraft,3,5 (Strongly agree)
1447,True,7/6/25 18:12,R_85TOwOg0ghc11wC,"48,0753","11,7097",EN,"0,8000000119",,Yes,It was a talk with a colleague about the onboarding of a new customer to our product. It was about separating all customers technically and secure data protection. It took about half an hour. ,2,"Friend,Colleague",,Myself,No,Workplace/University,,Work/school-related requirement,,"Incidents (ransomware attack, data breach, leak, device theft etc.)",,5 (Strongly agree),"Interested/curious,Confident/informed,Helpful/responsible",,Good input from the colleagues. Straight way to go further from there point of the conversation,"Interested/curious,Confident/informed,Helpful/responsible",,We talk much about these kind of topics,No,,"Yes, I had (How many?)",1,No,,,,,,,,,,,,,,,,,,,,,,,,23,Male,Germany,IT,4,5 (Strongly agree)
138,True,7/7/25 10:32,R_8CI5A5h3gm3q8ZO,"48,1477","11,5695",EN,"0,8000000119",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Male,Germany,UX HCI,1 (Strongly disagree),5 (Strongly agree)
316,True,7/7/25 10:33,R_86eVnDmqT71D5ig,"48,7495","9,2996",DE,"0,6000000238",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Male,Deutschland,Informatik ,3,5 (Strongly agree)
471,True,7/7/25 22:37,R_2X57L6MY37YGAZ5,"48,1396","11,6386",EN,"0,6000000238",,Yes,"I talked to a tech-savvy friend at home about the benefits of the auto-suggested passwords from Apple’s Passwords-app. I think it started, after a major update was implemented and I happened to sign up to something that needed a new password. I think we talked up to five minutes and agreed that iPhone security is good and the features it provides are very convenient.",1,Friend,,,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,1 (Strongly disagree),"Interested/curious,Confident/informed",,I had the feeling the app and the process work well and my tech-savvy friend supported this ,"Confident/informed,Helpful/responsible",,He told me some new things about its use and could tell me more from his longer experience he had with the app and iOS in general,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,31,Male,Germany ,Teaching,2,1 (Strongly disagree)
3812,True,7/8/25 12:39,R_8OHJYRBfM2P0Xg4,"42,6631","21,169",DE,0,,Yes,"1. Mein Ehemann. 
2. Zu Hause. 
3. Über das Passwort für ein Portal, über das man Kitas und Krippen in München finden kann. Ich hatte das Passwort im Internet generieren lassen. Mein Partner fand aber, dass es sicherer sei, selbst eines zu wählen. 
4. Die Suche nach einem Krippenplatz für unser Kind. 
5. Ich kann mich nicht genau daran erinnern. Vielleicht waren es 5 Minuten. Das Gespräch dauerte nicht lange. 
",1,Other (please specify),Ehepartner,,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Security behavior (choice of passwords, updating software etc.)",,3,Worried/anxious,,Mein Partner hat Informatik studiert und ist allgemein technisch interessiert. Dementsprechend vertraue ich seiner Expertise. ,Helpful/responsible,,Weil die Person über Erfahrungen im Bereich Cybersecurity verfügt und weil es um ein persönliches Thema geht. ,Yes,Ich wähle meine Passwörter zukünftig ausschließlich selbst. ,,,No,,,,,,,,,,,,,,,,,,,,,,,,31,Female,Deutschland ,PR-Referentin,1 (Strongly disagree),5 (Strongly agree)
1556,True,7/9/25 14:59,R_2F8PzSiQn991Suc,"48,1475","11,5865",EN,"0,8999999762",,Yes,Involved were colleagues of mine. The conversation took place at work.  We talked about systems we use to protect against cyberattacks. Some news from Microsoft triggered the conversation. We talked about 30min. ,3,Colleague,,Other,No,Workplace/University,,News story or social media post,,"Incidents (ransomware attack, data breach, leak, device theft etc.),Privacy tools (permission manager, cookie banners etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,3,Interested/curious,,Because the topic is very important in scope of my work.,"Interested/curious,Confident/informed,Helpful/responsible",,My colleagues read a lot about such topics and are very well informed.,Yes,We implemented some new systems. ,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,29,Female,Germany,Scientific assistant. ,3,5 (Strongly agree)
530,True,7/10/25 12:44,R_2mrcwuQCHRLBOK9,"48,3298","10,8536",DE,"0,400000006",,Yes,"Mein Universität hat 2 Fakro Authentifizierung für die Website eingeführt. Ich hab mit allen darüber gesprochen, wie nervig das ist. Alle fandens ebenfalls nervig. Niemand sah den Sinn dahinter, da auf den Uni-Accounts keine besonders sensiblen Daten sind.
",3,Friend,,Myself,"Yes, somebody I know",At home,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.)",,3,Annoyed,,Weil ich lange gebraucht habe um diese 2 Faktor Authentifizierung durchzuführen.,Annoyed,,Weil die anderen Personen ebenfalls Probleme bei der Anmeldung hatten,No,,,,"Yes, I’d like to describe another conversation",Eine Freundin aus dem Wohnheim wurde durch das Wlan gehackt. Sie hatt rechtzeitig reagieren können und den Router zurückgesetzt. Außerdem haben die Hacker nur ihre nicht so wichtigen Passwörter bekommen.,3,Friend,,Other,"Yes, somebody I know",At home,,"Personal experience (e.g., cybersecurity incident)",,"Incidents (ransomware attack, data breach, leak, device theft etc.),Security behavior (choice of passwords, updating software etc.)",,2,Worried/anxious,,Ich habe den gleichen Wlan Router und wohne im gleichen Wohnheim im gleichem Stockwerk.,Worried/anxious,,Sie wurde gehackt,No,,,,25,Male,Deutschland ,Lehramt auf Mittelschule Studienfach,1 (Strongly disagree),5 (Strongly agree)
511,True,7/13/25 18:45,R_8G710P1swKEvZvL,"55,6769","12,5268",EN,"0,8000000119",,Yes,"1. Coworkers
2. During breaks at work
3. We talked about how two factor approval for logging in to accounts makes it hard to use company social media through different departments
4. Trouble with logging in
5. About 10 minutes",5,Colleague,,,No,Workplace/University,,Work/school-related requirement,,"Privacy tools (permission manager, cookie banners etc.),Security tools (password managers, antivirus, VPN etc.)",,4,Interested/curious,,I’m don’t know that much about cyber security and computers in general,Interested/curious,,We have the same knowledge when it comes to cyber security,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,22,Female,Denmark,Design,2,5 (Strongly agree)
181,True,7/14/25 11:05,R_21Bn567NhP1Q4tI,"48,1343","11,6223",DE,"0,8999999762",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Male,Deutschland,Student - Informatik,3,5 (Strongly agree)
355,True,7/15/25 10:19,R_2wB5qjcPwWKC6Wn,"48,1223","11,5112",EN,"0,8000000119",,Yes,"My parents
At home
Password safety and the best way to store them
A forgotten password
Couple of minutes, not long
",1,Other (please specify),Family,Myself,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,5 (Strongly agree),Helpful/responsible,,I know a lot/enough about the topic where I think people will benefit from my advice. ,Indifferent,,They did not see the importance.,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,28,Male,Germany,IT,2,5 (Strongly agree)
640,True,7/15/25 11:33,R_8wRY3QbdxJVJIOn,"48,1475","11,5865",EN,"0,400000006",,Yes,"It was actually multiple conversations with my partner about the password and cyber security practises of his parents. I noticed that they never safe any passwords on their computer (my partner also doesn't), but reuse or use very simple passwords. The reason is that they are afraid to use password managers, because they could get hacked, but on the other hand they won't use complex passwords, because they are hard to remember. ",1,Other (please specify),Partner,,No,At home,,"Personal experience (e.g., cybersecurity incident),Someone asked for advice",,"Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,2,"Worried/anxious,Annoyed",,"Because it is really annoying to see people do something so wrong, but they have problems to change such behavior","Worried/anxious,Annoyed",,"My partner also doesn't want to explain to his parents how cyber security works, because it would be very strenuous.",Yes,I know my partner changed at least how he generates passwords.,,,No,,,,,,,,,,,,,,,,,,,,,,,,28,Non-binary,Germany,Computer Science,2,4
415,True,7/15/25 20:02,R_6PnwvgxFUHYAhGs,"40,7653","-73,9589",EN,"0,1000000015",,Yes,"1. Speaking to my husband
2. This conversation took place in our home
3. We spoke about how with today’s technological advancements especially with development of AI, me being in graduate school as well as him in business, AI is so heavily used and cybersecurity is out of the picture at this time, not being paid attention at all of its risks it will likely pose in the near future. 
4. After I noticed in my class, they were using these new AI tools that could make lectures into a podcast you can listen to. 
5. It lasted about 10 minutes
6. On the end, we went back to using technology normally like that conversation never happened.",1,Other (please specify),Spouse,Myself,No,At home,,Other (please specify),Someone at school was using a new AI tool,"Application areas (web browsing, smartphone, social media etc.),Privacy tools (permission manager, cookie banners etc.)",,3,Worried/anxious,,Because it feels like it is something that in the future will not be able to have control over.,Worried/anxious,,Same reasons,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,26,Female,United States (New York),Medicine,3,5 (Strongly agree)
39,True,7/18/25 16:25,R_2I6gy1h6ZNXEe9J,"55,8306","-4,2593",EN,"0,8000000119",660a6b953836d16312814993,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Male,United Kingdom,United Kingdom,1 (Strongly disagree),5 (Strongly agree)
100,True,7/18/25 16:27,R_85TDySRFo7fmG8p,"48,217","16,3944",EN,"0,3000000119",666b675ce58b4aa8e7a26fbb,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Male,Austria,unemployed,4,5 (Strongly agree)
251,True,7/18/25 16:29,R_5iqk9CRgkgKWs9y,"41,0854","-111,9682",EN,"0,8999999762",669b46825041be036247d1a2,Yes,I talked to my husband about different scams that are out there related to cybersecurity. I was at home. We were talking because my aunt had gotten a phishing email and wanted to know if was legit. It lasted a few minutes. ,1,Other (please specify),Spouse ,Myself,No,At home,,Someone asked for advice,,"Identity theft or fraud,Phishing or scams",,5 (Strongly agree),Annoyed,,Scams are annoying. ,Indifferent,,It wasn't that interesting to him. ,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,39,Female,USA,Homemaker,3,5 (Strongly agree)
83,True,7/18/25 16:30,R_81h4qPlJSKZ8eRs,"53,4606","-2,2572",EN,"0,8000000119",6606d4f4acdc3a6b8200c0ee,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Male,United Kingdom,logistics,4,5 (Strongly agree)
263,True,7/18/25 16:31,R_20IV5NN1sXfCgyR,"41,5515","-8,4204",EN,"0,400000006",606c7d27f4f3ae688332a55d,Yes,"Last time i talked about cybersecurity was in university with two more colleagues, we did talk about our future in the cybersecurity area, where we would like to work, the person who initiated the conversation was me, it did last around 20 minutes, we also did talk about how we feel discovering backdoors and major errors on the big companies.",2,Colleague,,Myself,No,Workplace/University,,"Personal experience (e.g., cybersecurity incident)",,"Identity theft or fraud,Incidents (ransomware attack, data breach, leak, device theft etc.),Privacy tools (permission manager, cookie banners etc.)",,5 (Strongly agree),"Interested/curious,Confident/informed,Helpful/responsible",,Because on this conversation i was the person that had most background about the subject.,Interested/curious,,"We are in the same bachelor degree that is about cybersecurity and informations, they need it.",No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,21,Male,Portugal,Cybersecurity and technology,4,5 (Strongly agree)
316,True,7/18/25 16:31,R_7Dq7xQhTShLRfpv,"37,751","-97,822",EN,,67d6838d9d907f59aef03ac5,Yes,A friend of mine wants to start a cybersecurity company. We were talking about what he would be doing and how he would be handling clients. He did tell me how data is stolen from me and the need for additional security. We talked for about 3 hours.,1,"Friend,Colleague",,Myself,No,At home,,"Personal experience (e.g., cybersecurity incident),Work/school-related requirement",,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Phishing or scams,Security behavior (choice of passwords, updating software etc.),Surveillance or data collection (government, companies etc.)",,1 (Strongly disagree),"Interested/curious,Worried/anxious",,I just then knew how little I knew,"Interested/curious,Confident/informed,Helpful/responsible",,He was excited talking about it,Yes,I became careful on how I set up my different passwords,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,24,Female,USA,Mass Communication,2,5 (Strongly agree)
147,True,7/18/25 16:34,R_2BlGQkFJ8eC5Lgr,"37,7664","-3,7955",EN,"0,200000003",5883a935c0c9a10001df6345,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Male,Spain,Electro Mechanics,1 (Strongly disagree),5 (Strongly agree)
422,True,7/18/25 16:37,R_6qsuAlDXhw0QjwN,"33,4849","-86,8596",EN,"0,8999999762",616964223dcbf0aa539dbae2,Yes,"My son was put a password on his tablet and then forgot it. When he realized the weight of the situation, he was surprised that there was not a simple fix. That is when his dad explained to him over the next fifteen minutes or so in the kitchen of our family home the importance of cybersecurity and why the measures are so secure.",2,Other (please specify),family,Myself,"Yes, somebody I know",At home,,"Personal experience (e.g., cybersecurity incident),Work/school-related requirement,Someone asked for advice",,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Privacy tools (permission manager, cookie banners etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,5 (Strongly agree),"Interested/curious,Confident/informed",,"I was confident because I believed that it would be completely impossible to unlock it because the password was forgotten. I was curious to see how it would be done and the extent of the damage done (i.e. lost data, photos, etc.)",Worried/anxious,,He was worried that his tablet would not work and he would get behind in his schoolwork.,Yes,"My son learned to make your password something that only you know, but something that you can remember and to write it down until you know it by memory.",,,No,,,,,,,,,,,,,,,,,,,,,,,,46,Female,United States,Internet Services,2,5 (Strongly agree)
492,True,7/18/25 16:39,R_2oH3PKALC39nSNu,"51,5212","-0,1825",EN,"0,8000000119",63f0ac76a8c1914f6f163539,Yes,"It was with my friend Heather, we meet up every few weeks and it was by the river we were just walking and chatting and she mentioned M&S were reopening in Putney and this brought up about the cyber bullies that got through the security and threatened data breeches and then we shifted on to the coop as it happened to them and they were offering money off as a gift but you had to do it in-store and its out of our way.  We chatted about 6/7 min about it and carried on our day.",1,Friend,,Other,No,"Public space (e.g., café, train)",,News story or social media post,,"Incidents (ransomware attack, data breach, leak, device theft etc.)",,1 (Strongly disagree),"Interested/curious,Worried/anxious",,I was concerned about my data at both,Indifferent,,Heather doesn't use online so no data,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,64,Female,United Kingdom,Technician NHS,1 (Strongly disagree),5 (Strongly agree)
448,True,7/18/25 16:39,R_8YKE1iBKzcDGRGl,"40,8449","14,2716",EN,"0,5",5fd394142d643f016601af39,Yes,"A few weeks ago, I talked with a colleague during our lunch break in the cafeteria. He told me his email has been hacked and used to send phishing messages. ",1,Colleague,,Other,No,Workplace/University,,"Personal experience (e.g., cybersecurity incident),Someone asked for advice",,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,4,"Interested/curious,Confident/informed,Helpful/responsible",,Because I had some knowledge of the topic and felt I could give useful advice. I was also curious about the incident and wanted to help him avoid similar issues in the future.,"Interested/curious,Worried/anxious,Helpful/responsible",,"He had just experienced a cyber incident and seemed concerned about how it happened. At the same time, he was eager to learn and asked for advice to prevent it from happening again.",Yes,,"Yes, I had (How many?)",1,No,,,,,,,,,,,,,,,,,,,,,,,,43,Male,Italy,Freelancer,4,5 (Strongly agree)
239,True,7/18/25 16:52,R_21irOfaoubIall0,"38,7584","-9,2495",EN,1,616b2703143d4550968777b8,Yes,I had a conversation involving cybersecurity with my supervisor where we went over dos and don'ts of passord saving and sharing as well as document and data sharing. The conversation lasted about 30 minutes. The conversation was triggered as part of my training,1,Other (please specify),Supervisor,Other,No,Workplace/University,,Work/school-related requirement,,"Privacy tools (permission manager, cookie banners etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.),Surveillance or data collection (government, companies etc.)",,4,"Confident/informed,Helpful/responsible",,Because I am confiden't in my skills.,"Confident/informed,Helpful/responsible",,As part of the job my supervisor was also confident in his skills.,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,24,Female,Portugal,Biomedical engineering,4,5 (Strongly agree)
41,True,7/21/25 13:59,R_2q8dubpinH2G9nZ,"46,3664","20,1012",EN,"0,6000000238",5f5a27482be30c0718bbf1e0,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Male,Hungary,Hungary,2,5 (Strongly agree)
186,True,7/21/25 14:02,R_2r0yfKHMPSvxiWN,"51,1278","-3,0001",EN,1,66435e2e5c5b5aceb2195908,Yes,It was with a workmate about the recent data leak from Marks and Spencer. It happened at work and it happened a few weeks ago. We talked about how it happened and if we or anyone we know might be affected. It lasted about 5-10min,1,Colleague,,Other,No,Workplace/University,,News story or social media post,,"Incidents (ransomware attack, data breach, leak, device theft etc.)",,4,"Interested/curious,Worried/anxious",,Because I might have been affected by the event.,"Interested/curious,Worried/anxious",,Because they may have been affected too.,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,35,Male,United Kingdom,Technology/Data analytics,3,5 (Strongly agree)
177,True,7/21/25 14:02,R_2eaVboJWAXMLIl3,"38,7521","-9,2279",EN,"0,8999999762",6090397fdf27ef27909b759c,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Male,Portugal,Teacher,2,5 (Strongly agree)
76,True,7/21/25 14:02,R_2CNhRNRw796rODA,"51,9594","1,3553",EN,"0,3000000119",6157040a78451d0e36577a2a,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Female,United Kingdom,Retail,3,5 (Strongly agree)
138,True,7/21/25 14:03,R_2GFpS2Y1pFgv23D,"40,9576","16,923",EN,"0,8999999762",5f7d002d141e4e1c0e84e98e,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Female,Italy ,IT - Quality assurance ,2,5 (Strongly agree)
219,True,7/21/25 14:04,R_2TIfVKEgsfltDMc,"51,4426","-2,8601",EN,"0,8999999762",6037d796b948e80ce4afcc09,Yes,I took a short course in cyber security a year ago back and have a level 2 degree in it. in which my mum was intersted in me to talk about when i went to visit her. i told her the inns and outs and facts that she might not know as she is older. the convo lasted probably 20 minutes and was just telling her how important it is to really keep passwords safe!,1,Friend,,Other,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Identity theft or fraud,Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Privacy tools (permission manager, cookie banners etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,5 (Strongly agree),"Interested/curious,Confident/informed,Helpful/responsible",,I knew what i was speaking out and felt confident in giving correct information,Interested/curious,,She asked me more and more questions,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,23,Female,United Kingdom,N/A,2,5 (Strongly agree)
272,True,7/21/25 14:04,R_2RVtX5IeJlqUPvr,"51,2483","-1,1266",EN,"0,8999999762",664dfbf4a8188185b87483af,Yes,"we talked about it at my work in a meeting with me colleagues and my boss.
the meeting was about an hour. we talk about cyber security in workplace",8,Colleague,,Other,No,Workplace/University,,News story or social media post,,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Phishing or scams",,2,Worried/anxious,,because anyone can have access online and they can scam you,Worried/anxious,,the same reason like me,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,35,Female,United Kingdom,Beauty tehrapist,2,5 (Strongly agree)
329,True,7/21/25 14:04,R_8nilVrtm8WKgQCo,"44,4847","11,328",EN,"0,8999999762",65831e585b1437a7b510aec1,Yes,"1. Me and one of my colleagues, specifically the one responsible for cybersecurity at my office
2. Inside the office, in the break room
3. We talked about the last cybersecurity breach
4. We had just been attacked the previous week, so I asked him to get me up to speed on what he had discovered, and especially on the cause of the breach
5. About 15 minutes
6. He told me about the next steps our company is going to take to prevent future attacks, and about a mandatory online course all employees are going to attend about spam emails and other potentially dangerous attack vectors.",1,Colleague,,Myself,"Yes, somebody I know",Workplace/University,,"Personal experience (e.g., cybersecurity incident)",,"Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Security behavior (choice of passwords, updating software etc.)",,3,"Interested/curious,Worried/anxious",,I was worried about the data exposed and private information available to the attackers,Confident/informed,,He liked talking about his area of expertise,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,31,Male,Italy,Software engineer,2,5 (Strongly agree)
347,True,7/21/25 14:04,R_2VUnx1XmPYEga4N,"53,5464","-1,4307",EN,"0,200000003",65e3434e8d58b05bcee42c3d,Yes,"Myself and a friend were discussing our concerns about the feeling we are being constantly watched and listened to by outside sources. 
Often we discuss things, interests, products etc .. that later come up on various social media platforms as recommendations and suggestions. 
We both found it highly concerning ",1,Friend,,Myself,No,At home,,News story or social media post,,"Application areas (web browsing, smartphone, social media etc.),Surveillance or data collection (government, companies etc.)",,5 (Strongly agree),Worried/anxious,,I’m feel my privacy is being invaded and that made me feel uneasy ,Worried/anxious,,The other person shared the same concerns as myself regarding privacy invasion ,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,53,Female,England ,Health and social care ,2,5 (Strongly agree)
327,True,7/21/25 14:05,R_5g8Rhb9KtDOpMgV,"38,8445","-82,1371",EN,"0,8999999762",5ce9c6df6b2b3d001a94b24f,Yes,"1. A friend.
2. On the phone.
3. Online security. 
4. News of a data breach.
5. A few minutes. 
6. Nothing else comes to mind. ",1,Friend,,Myself,No,Other (please specify),On the phone.,News story or social media post,,"Incidents (ransomware attack, data breach, leak, device theft etc.)",,3,Interested/curious,,It was an interesting subject. ,Interested/curious,,He behaved in this way. ,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,50,Male,United States,Self Employed,1 (Strongly disagree),5 (Strongly agree)
244,True,7/21/25 14:05,R_8KPihXQuQNMpWr7,"51,4236","-0,9554",EN,"0,6000000238",5e5ad8d315b8d42db10b84ce,Yes,"I was talking to a friend regarding the incident happened at their organisation. The topic was triggered as we were discussing about a TV series which some how spiralled into the cybersecurity discussion, the discussion lasted for around 7-8mins.",1,Friend,,Myself,No,At home,,Work/school-related requirement,,Identity theft or fraud,,4,Interested/curious,,it made me think about the different crimes which can happen becuase of the the cyber security issues.,Interested/curious,,it was very involved discussion.,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,37,Male,United Kingdom,telecommunications,3,5 (Strongly agree)
385,True,7/21/25 14:05,R_2DP8FR0q0j9UUzf,"38,5436","-9,0473",EN,"0,8000000119",6613fa9b08e1e2496afb6518,Yes,"It involved by boyfrined who is a computer science major.
It took place in his house.
We talked about having a password manager that was safe. Something that could be hosted in his server at home.
The conversation was triggered by me being annoyed that I have to always put different passwords for all my accounts and that I cant keep track of all of them. The conversation lasted about 10 minutes. ",1,Other (please specify),boyfriend,Myself,No,At home,,Someone asked for advice,,"Security tools (password managers, antivirus, VPN etc.)",,4,Interested/curious,,"i did not know it was possible to host a password manager, so I was curious.",Helpful/responsible,,Because they were sharing their knowledge about something they like. ,Yes,I now use the password manager,,,No,,,,,,,,,,,,,,,,,,,,,,,,22,Female,Portugal,Data science,2,5 (Strongly agree)
386,True,7/21/25 14:05,R_2esrETW1PxVZYyu,"41,8905","12,5127",EN,"0,8999999762",5e73ded1027e893642055f86,Yes,"I remember talking to my mom about it trying to advice her how to check her emails for spam. I initiated the conversation because i received a spam myself and i thought that if she were to receive it herself she would have clicked to the provided link. It lasted 10 min more or less. I advised her to check always the email address that sent the email and to be sceptical when receiving texts like ""urgent' etc especially when they appear to come by her bank or state related accounts.",1,Other (please specify),family,Myself,No,At home,,"Personal experience (e.g., cybersecurity incident)",,Phishing or scams,,3,Worried/anxious,,because i know it is nit easy for her to understand and remember all these details to be secure,Worried/anxious,,because it is something outside of her sphere of interest,,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,28,Female,Italy,conservation of cultural heritage,3,5 (Strongly agree)
315,True,7/21/25 14:05,R_835cavkyBy9cg8N,"55,9019","-4,4553",EN,"0,8999999762",6016f0e16f7aec8af4152aa4,Yes,"I had a conversation with a colleague at work. It was in our office. He had to update his password, and was complaining about how often he had to update it and that he has many passwords for different work systems. All of these ask for new passwords at different times. We also discusses multi-factor authentication and the challange of this across so many applications. It lasted a few minutes.",1,Colleague,,Other,No,Workplace/University,,Work/school-related requirement,,"Security behavior (choice of passwords, updating software etc.)",,4,"Confident/informed,Helpful/responsible",,I had first hand experience of the same issue,Annoyed,,They were complaining about an onerous task,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,43,Male,United Kingdom,Supply Chain Manager,3,5 (Strongly agree)
